student_id,age,gender,education_level,previous_courses,videos_watched,assignments_completed,forum_posts,quiz_scores_avg,time_spent_hours,login_frequency,days_active,certification_goal,completed
1,56,Male,High School,7,53,13,17,48.77537095709786,4.477881785755589,58,10,1,0
2,46,Male,Bachelor,14,15,2,11,75.39574940121003,154.63259946952425,16,24,1,1
3,32,Male,Bachelor,14,80,0,47,86.77410586716948,15.955822288646981,94,59,0,0
4,60,Other,PhD,18,90,10,24,39.139002646999955,3.4101092128357102,65,67,1,1
5,25,Other,High School,19,6,12,10,1.3569569904015921,29.48375467105191,79,61,1,0
6,38,Other,Master,5,7,10,21,25.492656602090904,61.25895825970873,20,26,0,0
7,56,Female,Master,18,71,0,45,91.49150410844089,92.94013637949139,93,39,0,1
8,36,Female,PhD,7,86,11,33,68.7542260552291,13.080656943223424,51,82,1,1
9,40,Male,Master,5,95,8,12,73.72187164369404,99.79644671018471,64,3,0,0
10,28,Other,PhD,19,81,8,45,32.52886142654214,49.612292208920074,13,38,1,0
11,28,Male,High School,14,37,4,37,70.12729846749951,54.87429901952445,15,42,0,0
12,41,Other,Master,2,53,14,11,64.62821454094252,164.3804503295726,54,48,0,1
13,53,Other,High School,9,75,1,38,17.837366347702897,197.38471521046765,8,89,1,1
14,57,Other,Bachelor,14,14,8,35,96.86907774306445,92.77280585232353,7,13,1,1
15,41,Female,Master,15,91,12,27,35.402559334774,64.35413903089928,72,89,0,1
16,20,Female,Bachelor,16,49,11,26,32.928697384004224,186.28963523191376,33,88,0,1
17,39,Other,Master,18,55,12,38,36.9161544230198,100.08968929326329,32,56,1,1
18,19,Male,High School,10,94,7,12,9.171961532076933,146.07071423614425,85,59,1,1
19,41,Other,PhD,15,8,12,42,62.49635170932159,82.74800619197676,93,63,1,1
20,61,Other,High School,4,7,10,39,23.86242437463968,40.5097155316319,6,80,0,0
21,47,Male,High School,4,18,9,26,80.33127563841809,130.97702251352516,81,43,1,1
22,55,Other,High School,13,50,9,30,39.415618013394585,132.96852990734396,20,75,1,1
23,19,Male,Master,17,71,5,1,45.8558482290652,92.03677001579014,4,57,1,1
24,38,Female,PhD,7,97,6,17,64.64220541155589,53.98992701616727,70,21,0,0
25,50,Female,Bachelor,4,56,11,25,76.18711339537391,166.36269841254975,11,54,0,1
26,29,Male,High School,6,67,5,41,23.111530484811173,55.06362487711547,58,79,1,1
27,39,Female,Master,15,30,14,30,96.62943297181461,131.80479725335843,80,53,0,1
28,61,Female,Bachelor,13,2,14,37,62.232154596668124,76.79712477853936,57,45,0,0
29,42,Male,High School,4,98,4,21,0.5638623500387574,94.49613558754588,87,36,1,0
30,44,Female,Bachelor,8,82,3,35,41.562220992355115,42.28053230009441,36,63,1,1
31,59,Other,High School,3,42,6,18,43.681782063075424,129.89598909587306,82,1,1,0
32,45,Other,Bachelor,3,28,3,13,80.9164975974397,45.16516672383697,44,67,1,1
33,33,Male,Bachelor,15,9,9,13,30.513977412050387,97.14280932152273,79,79,1,1
34,32,Female,PhD,16,11,9,49,33.122651629496346,65.69187862928135,24,33,1,0
35,64,Other,PhD,14,45,9,28,7.049409285256791,192.7211465569243,26,32,1,1
36,61,Other,High School,3,29,8,16,28.354602452581478,196.4442191787095,50,87,1,1
37,20,Female,Master,5,93,4,49,71.696170148585,150.69826146760872,41,58,1,1
